OID_,Value,Count,bps,evt,evh_reclass,evc_reclass,BPS_MODEL,EVT_LF,EVT_PHYS,EVT_SBCLS,Leaf_Form,HT_Class,Lifeform,CanCover,SClass,LandType,LABEL
27,27,10927.000000000000000,1883,7321,44,9,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,80-89,4,RB Mixed Hardwood-Toeslope (ELTP),D
28,28,13490.000000000000000,1874,7321,44,9,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,80-89,5,RB Mixed Hardwood-Toeslope (ELTP),E
29,29,7876.000000000000000,1883,7320,43,8,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,2,RB Mixed Hardwood-Toeslope (ELTP),B
30,30,6566.000000000000000,1883,7320,43,9,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,2,RB Mixed Hardwood-Toeslope (ELTP),B
31,31,7807.000000000000000,1874,7321,44,8,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,70-79,5,RB Mixed Hardwood-Toeslope (ELTP),E
32,32,12824.000000000000000,1874,7321,43,7,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,60-69,4,RB Mixed Hardwood-Toeslope (ELTP),D
33,33,20510.000000000000000,1875,7303,43,8,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,5,Dry Mesic Mixed Oak Hardwood,E
34,34,4787.000000000000000,1875,7303,43,7,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,60-69,4,Dry Mesic Mixed Oak Hardwood,D
35,35,98.000000000000000,1883,7317,43,9,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,2,RB Mixed Hardwood-Toeslope (ELTP),B
36,36,7363.000000000000000,1883,7303,44,8,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,70-79,4,RB Mixed Hardwood-Toeslope (ELTP),D
37,37,11698.000000000000000,1875,7321,43,8,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,5,Dry Mesic Mixed Oak Hardwood,E
38,38,22289.000000000000000,1875,7303,43,9,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,5,Dry Mesic Mixed Oak Hardwood,E
39,39,719.000000000000000,1875,7556,43,8,13200_48_57_61,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,70-79,5,Dry Mesic Mixed Oak Hardwood,E
40,40,18438.000000000000000,1875,7321,43,9,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,5,Dry Mesic Mixed Oak Hardwood,E
